player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures,YEAR
Noah Williams,52278,S,STANFORD,9,0,0,300,55.4,0,2,4,1.9,0,0,0,25,0,262,5,2,0,59.7,0,0,1,1,0,0,0,0,99,1,0,2021
Ryan Johnson,52282,DI,STANFORD,12,0,0,300,52.9,2,4,136,99.3,2.2,3,0,2.2,0,145,144,6,0,55.4,1,3,49,100,4.1,2,4.1,0,54,54,4,2021
Tucker Fisk,52286,TE,STANFORD,8,1,0,300,63.1,0,3,92,100,6.5,6,2,3.8,2,95,95,5,1,65.3,0,2,36,100,8.3,3,2.8,0,36,36,2,2021
Bentlee Sanders,52291,CB,NEVADA,9,0,0,239,53.8,2,3,14,7.6,0,0,1,17.9,0,184,14,5,0,50.3,1,2,7,8.1,0,0,21.4,0,86,7,3,2021
Darrien Grant,52293,ED,USF,5,0,0,327,54.9,0,1,54,100,1.9,1,1,0.9,0,56,56,1,0,56.4,0,0,4,100,0,0,0,0,4,4,0,2021
Kelvin Pinkney,52308,DI,USF,11,0,1,327,62.2,0,3,164,100,3.7,6,2,0.9,0,173,173,3,0,59.6,0,0,27,100,7.4,2,0,0,30,30,0,2021
Kevin Kegler,52310,DI,USF,12,0,0,327,60.8,2,4,142,99.3,4.9,7,0,2.8,1,148,147,7,0,55.6,1,1,29,96.9,3.4,1,3.4,0,32,31,2,2021
Mekhi LaPointe,52315,S,USF,11,0,0,327,55.8,0,0,5,1.5,0,0,0,0,0,343,5,0,0,56.7,0,0,2,3,0,0,0,0,67,2,0,2021
Nick Roberts,52318,CB,LA MONROE,12,0,0,209,54.9,0,3,27,9.4,3.7,1,1,9.3,1,297,28,4,0,66.5,0,1,8,11.4,12.5,1,18.8,1,79,9,2,2021
Bryce Dugan,52425,ED,OHIO,12,1,0,259,59.1,0,13,198,93.9,6.6,13,1,3.8,1,230,216,14,1,58,0,5,68,94.8,7.4,5,5.1,1,77,73,6,2021
Malik Vann,52555,ED,CINCINNATI,11,3,1,138,74.7,2,18,183,100,13.7,25,3,6,1,189,189,21,2,74.5,1,7,54,100,25.9,14,7.4,0,57,57,8,2021
Tyler Bentley,52790,DI,PITTSBURGH,12,0,0,268,59.1,0,4,125,100,4.8,6,0,1.6,0,140,140,4,0,63.7,0,3,37,100,10.8,4,4.1,0,41,41,3,2021
Cole Pearce,52970,LB,BALL ST,7,0,0,117,53.6,0,2,9,15.3,0,0,0,11.1,0,59,9,2,0,57.3,0,1,2,11.1,0,0,25,0,18,2,1,2021
Jevon Henderson,53477,DI,BOWL GREEN,1,0,0,122,57.8,0,0,4,100,0,0,0,0,0,4,4,0,0,57.8,0,0,4,100,0,0,0,0,4,4,0,2021
Deshawn Pace,53549,LB,CINCINNATI,12,0,0,138,77.9,3,5,28,11.6,17.9,5,0,17.9,1,249,29,9,0,76.5,1,4,11,18.5,27.3,3,31.8,1,65,12,6,2021
Ja'von Hicks,53569,S,CINCINNATI,12,0,1,138,57.3,0,0,3,0.7,0,0,2,0,0,404,3,0,0,59.2,0,0,1,0.8,0,0,0,0,118,1,0,2021
Eric Phillips,53572,DI,CINCINNATI,8,0,0,138,62.8,0,1,25,100,4,1,0,2,0,30,30,1,0,57.4,0,0,3,100,0,0,0,0,4,4,0,2021
